### Module positions - created on 2025-05-16 23:31
### Printed by pcb_positions plugin
## Unit = mm, Angle = deg.
## Pcb Height 0.000mm, Pcb Width 0.000mm [based on Edge bounding box]
## Side : top
## Board Aux Origin: 0.000mm ,0.000mm
# Ref         Val                 Package                       PosX       PosY       Pin1_PosX  Pin1_PosY    Rot     Side      Type
J909          Conn_01x01          single_pin                    147.0000   -36.8800   147.0000   -36.8800      0.0    top       SMD
J908          Conn_01x01          single_pin                    147.0000   -34.1800   147.0000   -34.1800      0.0    top       SMD
J907          Conn_01x01          single_pin                    147.0000   -31.4800   147.0000   -31.4800      0.0    top       SMD
J906          Conn_01x01          single_pin                    147.0000   -28.7800   147.0000   -28.7800      0.0    top       SMD
J905          Conn_01x01          single_pin                    147.0000   -26.0800   147.0000   -26.0800      0.0    top       SMD
J904          Conn_01x01          single_pin                    147.0000   -23.3800   147.0000   -23.3800      0.0    top       SMD
J903          Conn_01x01          single_pin                    147.0000   -20.6800   147.0000   -20.6800      0.0    top       SMD
J902          Conn_01x01          single_pin                    147.0000   -17.9800   147.0000   -17.9800      0.0    top       SMD
J901          Conn_01x01          single_pin                    147.0000   -15.2800   147.0000   -15.2800      0.0    top       SMD
J900          Conn_01x01          single_pin                    144.3000   -39.5800   144.3000   -39.5800      0.0    top       SMD
J899          Conn_01x01          single_pin                    144.3000   -36.8800   144.3000   -36.8800      0.0    top       SMD
J898          Conn_01x01          single_pin                    144.3000   -34.1800   144.3000   -34.1800      0.0    top       SMD
J897          Conn_01x01          single_pin                    144.3000   -31.4800   144.3000   -31.4800      0.0    top       SMD
J896          Conn_01x01          single_pin                    144.3000   -28.7800   144.3000   -28.7800      0.0    top       SMD
J895          Conn_01x01          single_pin                    144.3000   -26.0800   144.3000   -26.0800      0.0    top       SMD
J894          Conn_01x01          single_pin                    144.3000   -23.3800   144.3000   -23.3800      0.0    top       SMD
J893          Conn_01x01          single_pin                    144.3000   -20.6800   144.3000   -20.6800      0.0    top       SMD
J892          Conn_01x01          single_pin                    144.3000   -17.9800   144.3000   -17.9800      0.0    top       SMD
J891          Conn_01x01          single_pin                    144.3000   -15.2800   144.3000   -15.2800      0.0    top       SMD
J890          Conn_01x01          single_pin                    141.6000   -39.5800   141.6000   -39.5800      0.0    top       SMD
J889          Conn_01x01          single_pin                    141.6000   -36.8800   141.6000   -36.8800      0.0    top       SMD
J888          Conn_01x01          single_pin                    141.6000   -34.1800   141.6000   -34.1800      0.0    top       SMD
J887          Conn_01x01          single_pin                    141.6000   -31.4800   141.6000   -31.4800      0.0    top       SMD
J886          Conn_01x01          single_pin                    141.6000   -28.7800   141.6000   -28.7800      0.0    top       SMD
J885          Conn_01x01          single_pin                    141.6000   -26.0800   141.6000   -26.0800      0.0    top       SMD
J884          Conn_01x01          single_pin                    141.6000   -23.3800   141.6000   -23.3800      0.0    top       SMD
J883          Conn_01x01          single_pin                    141.6000   -20.6800   141.6000   -20.6800      0.0    top       SMD
J882          Conn_01x01          single_pin                    141.6000   -17.9800   141.6000   -17.9800      0.0    top       SMD
J881          Conn_01x01          single_pin                    141.6000   -15.2800   141.6000   -15.2800      0.0    top       SMD
J880          Conn_01x01          single_pin                    138.9000   -39.5800   138.9000   -39.5800      0.0    top       SMD
J879          Conn_01x01          single_pin                    138.9000   -36.8800   138.9000   -36.8800      0.0    top       SMD
J878          Conn_01x01          single_pin                    138.9000   -34.1800   138.9000   -34.1800      0.0    top       SMD
J877          Conn_01x01          single_pin                    138.9000   -31.4800   138.9000   -31.4800      0.0    top       SMD
J876          Conn_01x01          single_pin                    138.9000   -28.7800   138.9000   -28.7800      0.0    top       SMD
J875          Conn_01x01          single_pin                    138.9000   -26.0800   138.9000   -26.0800      0.0    top       SMD
J874          Conn_01x01          single_pin                    138.9000   -23.3800   138.9000   -23.3800      0.0    top       SMD
J873          Conn_01x01          single_pin                    138.9000   -20.6800   138.9000   -20.6800      0.0    top       SMD
J872          Conn_01x01          single_pin                    138.9000   -17.9800   138.9000   -17.9800      0.0    top       SMD
J871          Conn_01x01          single_pin                    138.9000   -15.2800   138.9000   -15.2800      0.0    top       SMD
J870          Conn_01x01          single_pin                    136.2000   -39.5800   136.2000   -39.5800      0.0    top       SMD
J869          Conn_01x01          single_pin                    136.2000   -36.8800   136.2000   -36.8800      0.0    top       SMD
J868          Conn_01x01          single_pin                    136.2000   -34.1800   136.2000   -34.1800      0.0    top       SMD
J867          Conn_01x01          single_pin                    136.2000   -31.4800   136.2000   -31.4800      0.0    top       SMD
J866          Conn_01x01          single_pin                    136.2000   -28.7800   136.2000   -28.7800      0.0    top       SMD
J865          Conn_01x01          single_pin                    136.2000   -26.0800   136.2000   -26.0800      0.0    top       SMD
J864          Conn_01x01          single_pin                    136.2000   -23.3800   136.2000   -23.3800      0.0    top       SMD
J863          Conn_01x01          single_pin                    136.2000   -20.6800   136.2000   -20.6800      0.0    top       SMD
J862          Conn_01x01          single_pin                    136.2000   -17.9800   136.2000   -17.9800      0.0    top       SMD
J861          Conn_01x01          single_pin                    136.2000   -15.2800   136.2000   -15.2800      0.0    top       SMD
J860          Conn_01x01          single_pin                    133.5000   -39.5800   133.5000   -39.5800      0.0    top       SMD
J859          Conn_01x01          single_pin                    133.5000   -36.8800   133.5000   -36.8800      0.0    top       SMD
J858          Conn_01x01          single_pin                    133.5000   -34.1800   133.5000   -34.1800      0.0    top       SMD
J857          Conn_01x01          single_pin                    133.5000   -31.4800   133.5000   -31.4800      0.0    top       SMD
J856          Conn_01x01          single_pin                    133.5000   -28.7800   133.5000   -28.7800      0.0    top       SMD
J855          Conn_01x01          single_pin                    133.5000   -26.0800   133.5000   -26.0800      0.0    top       SMD
J854          Conn_01x01          single_pin                    133.5000   -23.3800   133.5000   -23.3800      0.0    top       SMD
J853          Conn_01x01          single_pin                    133.5000   -20.6800   133.5000   -20.6800      0.0    top       SMD
J852          Conn_01x01          single_pin                    133.5000   -17.9800   133.5000   -17.9800      0.0    top       SMD
J851          Conn_01x01          single_pin                    133.5000   -15.2800   133.5000   -15.2800      0.0    top       SMD
J850          Conn_01x01          single_pin                    130.8000   -39.5800   130.8000   -39.5800      0.0    top       SMD
J849          Conn_01x01          single_pin                    130.8000   -36.8800   130.8000   -36.8800      0.0    top       SMD
J848          Conn_01x01          single_pin                    130.8000   -34.1800   130.8000   -34.1800      0.0    top       SMD
J847          Conn_01x01          single_pin                    130.8000   -31.4800   130.8000   -31.4800      0.0    top       SMD
J846          Conn_01x01          single_pin                    130.8000   -28.7800   130.8000   -28.7800      0.0    top       SMD
J845          Conn_01x01          single_pin                    130.8000   -26.0800   130.8000   -26.0800      0.0    top       SMD
J844          Conn_01x01          single_pin                    130.8000   -23.3800   130.8000   -23.3800      0.0    top       SMD
J843          Conn_01x01          single_pin                    130.8000   -20.6800   130.8000   -20.6800      0.0    top       SMD
J842          Conn_01x01          single_pin                    130.8000   -17.9800   130.8000   -17.9800      0.0    top       SMD
J841          Conn_01x01          single_pin                    130.8000   -15.2800   130.8000   -15.2800      0.0    top       SMD
J840          Conn_01x01          single_pin                    128.1000   -39.5800   128.1000   -39.5800      0.0    top       SMD
J839          Conn_01x01          single_pin                    128.1000   -36.8800   128.1000   -36.8800      0.0    top       SMD
J838          Conn_01x01          single_pin                    128.1000   -34.1800   128.1000   -34.1800      0.0    top       SMD
J837          Conn_01x01          single_pin                    128.1000   -31.4800   128.1000   -31.4800      0.0    top       SMD
J836          Conn_01x01          single_pin                    128.1000   -28.7800   128.1000   -28.7800      0.0    top       SMD
J835          Conn_01x01          single_pin                    128.1000   -26.0800   128.1000   -26.0800      0.0    top       SMD
J834          Conn_01x01          single_pin                    128.1000   -23.3800   128.1000   -23.3800      0.0    top       SMD
J833          Conn_01x01          single_pin                    128.1000   -20.6800   128.1000   -20.6800      0.0    top       SMD
J832          Conn_01x01          single_pin                    128.1000   -17.9800   128.1000   -17.9800      0.0    top       SMD
J831          Conn_01x01          single_pin                    128.1000   -15.2800   128.1000   -15.2800      0.0    top       SMD
J378          Conn_01x01 H        single_pin                    187.9600   -119.3800  187.9600   -119.3800     0.0    top       SMD
J167          Conn_01x01 G        single_pin                    134.6200   -116.8400  134.6200   -116.8400     0.0    top       SMD
J173          Conn_01x01 C        single_pin                    137.1600   -101.6000  137.1600   -101.6000     0.0    top       SMD
J147          Conn_01x01 G        single_pin                    129.5400   -116.8400  129.5400   -116.8400     0.0    top       SMD
J157          Conn_01x01 G        single_pin                    132.0800   -116.8400  132.0800   -116.8400     0.0    top       SMD
J199          Conn_01x01 I        single_pin                    142.2400   -121.9200  142.2400   -121.9200     0.0    top       SMD
J186          Conn_01x01 F        single_pin                    139.7000   -114.3000  139.7000   -114.3000     0.0    top       SMD
J132          Conn_01x01 B        single_pin                    127.0000   -99.0600   127.0000   -99.0600      0.0    top       SMD
J131          Conn_01x01 A        single_pin                    127.0000   -96.5200   127.0000   -96.5200      0.0    top       SMD
J150          Conn_01x01 J        single_pin                    129.5400   -124.4600  129.5400   -124.4600     0.0    top       SMD
J179          Conn_01x01 I        single_pin                    137.1600   -121.9200  137.1600   -121.9200     0.0    top       SMD
J140          Conn_01x01 J        single_pin                    127.0000   -124.4600  127.0000   -124.4600     0.0    top       SMD
J189          Conn_01x01 I        single_pin                    139.7000   -121.9200  139.7000   -121.9200     0.0    top       SMD
J166          Conn_01x01 F        single_pin                    134.6200   -114.3000  134.6200   -114.3000     0.0    top       SMD
J194          Conn_01x01 D        single_pin                    142.2400   -104.1400  142.2400   -104.1400     0.0    top       SMD
J142          Conn_01x01 B        single_pin                    129.5400   -99.0600   129.5400   -99.0600      0.0    top       SMD
J193          Conn_01x01 C        single_pin                    142.2400   -101.6000  142.2400   -101.6000     0.0    top       SMD
